special_point,joint_acf_sq,rms_acf,magnitude,d_compound,ratio_compound,d_unnamed_mba,ratio_unnamed_mba
Mesarthim,0.545754,0.222742,small,4.865239,4.941449,3.488071,4.187652
Sun,0.152978,0.117928,small,1.481765,2.426737,1.168065,2.197200
Moon,0.026074,0.048686,negligible,-0.586483,0.720618,-0.640870,0.707549
Mercury,0.094998,0.092931,negligible,1.422540,1.939296,1.158606,1.782505
Venus,0.058425,0.072879,negligible,0.685255,1.416116,0.111699,1.090571
Mars,0.135552,0.111008,small,0.392816,1.415395,0.102658,1.116983
Jupiter,0.316629,0.169660,small,2.226528,2.837276,1.810342,2.563121
Saturn,0.383032,0.186604,small,3.030221,3.502215,2.331008,3.091013
Uranus,0.390438,0.188399,small,2.819168,3.345777,2.153571,2.941565
Neptune,0.486189,0.210236,small,4.157731,4.342069,3.014341,3.759504
Pluto,0.499404,0.213074,small,4.405379,4.614682,3.139015,3.857447
Rahu,0.385939,0.187311,small,3.126042,3.619212,2.283683,3.127156
ALL_SPS,3.475411,0.162262,small,3.292343,3.278175,2.395793,2.831508
