special_point,category,joint_acf_sq_obs,acf_norm_lag_24,acf_norm_lag_30,acf_norm_lag_36,acf_norm_lag_40,acf_norm_lag_45,acf_norm_lag_51,acf_norm_lag_60,acf_norm_lag_72,acf_norm_lag_90,acf_norm_lag_120,acf_norm_lag_180,variance_share_lag_24,variance_share_lag_30,variance_share_lag_36,variance_share_lag_40,variance_share_lag_45,variance_share_lag_51,variance_share_lag_60,variance_share_lag_72,variance_share_lag_90,variance_share_lag_120,variance_share_lag_180
Jupiter,Classical BENEFICS,0.316629,+0.571135,+0.677976,+0.667368,+0.678848,+0.389705,+0.401208,+0.273209,+0.286521,-0.088747,-0.197922,-0.974465,0.103283,0.145539,0.141020,0.145914,0.048087,0.050967,0.023634,0.025994,0.002494,0.012403,0.300665
Venus,Classical BENEFICS,0.058425,+1.885837,+1.222388,+2.042602,+0.999384,+1.397107,+0.653316,+0.519196,-0.336243,-0.571742,-1.525785,-1.215781,0.207781,0.087300,0.243762,0.058353,0.114040,0.024937,0.015749,0.006605,0.019098,0.136015,0.086359
Saturn,Classical MALEFICS,0.383032,+0.621559,+0.651700,+0.783376,+0.421009,+0.404854,+0.180024,+0.545657,+0.123501,-0.008537,-0.399332,-0.583030,0.147979,0.162679,0.235058,0.067892,0.062782,0.012414,0.114044,0.005842,0.000028,0.061081,0.130202
Mars,Classical MALEFICS,0.135552,+1.604425,+1.294042,+0.951745,+0.641009,-0.084971,+0.457028,+0.534784,+0.242660,-0.253873,-1.085237,-0.092732,0.348935,0.226988,0.122786,0.055697,0.000979,0.028313,0.038767,0.007982,0.008737,0.159645,0.001166
Sun,Luminaries,0.152978,+0.674188,+0.945692,+1.143138,+0.152669,+1.118664,+0.776321,-0.284995,+0.316967,-0.234419,-0.707742,-1.125312,0.069533,0.136813,0.199906,0.003566,0.191438,0.092196,0.012425,0.015369,0.008407,0.076627,0.193720
Moon,Luminaries,0.026074,+0.208637,-0.318593,-2.438713,-3.053770,+1.405308,+0.989415,+2.220680,+1.998773,+2.037048,+2.486116,+0.850426,0.001135,0.002647,0.155070,0.243153,0.051493,0.025525,0.128582,0.104168,0.108196,0.161158,0.018857
Mercury,Neutral,0.094998,+0.880071,+1.097865,+1.251500,+1.596234,-0.046190,+0.093739,-0.144529,+1.071444,-0.381987,+0.409798,-1.714299,0.073578,0.114502,0.148791,0.242051,0.000203,0.000835,0.001984,0.109057,0.013862,0.015953,0.279182
Mesarthim,Reference,0.545754,+0.541039,+0.597220,+0.493360,+0.363995,+0.239133,+0.187055,+0.303815,+0.269733,-0.032009,-0.320067,-0.668083,0.159755,0.194655,0.132839,0.072308,0.031209,0.019096,0.050375,0.039707,0.000559,0.055909,0.243589
Uranus,Modern (post-class.),0.390438,+0.601312,+0.703203,+0.615007,+0.429139,+0.389919,+0.287362,+0.271275,+0.220598,-0.203628,-0.308300,-0.805844,0.141173,0.193069,0.147677,0.071903,0.059361,0.032241,0.028732,0.019000,0.016189,0.037111,0.253544
Neptune,Modern (post-class.),0.486189,+0.583501,+0.620070,+0.496957,+0.471590,+0.303555,+0.245678,+0.449274,+0.138360,-0.014976,-0.475270,-0.512729,0.165535,0.186933,0.120072,0.108127,0.044800,0.029345,0.098136,0.009307,0.000109,0.109821,0.127815
Pluto,Modern (post-class.),0.499404,+0.612302,+0.544767,+0.458523,+0.393948,+0.247591,+0.127266,+0.445988,+0.249650,-0.056209,-0.395850,-0.683140,0.187233,0.148209,0.104996,0.077505,0.030614,0.008089,0.099334,0.031125,0.001578,0.078255,0.233062
Rahu,Lunar Node (Vedic),0.385939,+0.721915,+0.756682,+0.681201,+0.519849,+0.440689,+0.290450,+0.323002,+0.078865,-0.151166,-0.351947,-0.476702,0.201136,0.220976,0.179089,0.104297,0.074952,0.032558,0.040265,0.002400,0.008819,0.047805,0.087703
